Time,Open,High,Low,Last,Change,%Chg,Volume
04/21/2021,56805.24,57084.03,54363.82,55792.88,-1020.52,-1.80%,47162
04/20/2021,56163.02,57062.33,53501.65,56813.4,646.51,+1.15%,57840
04/19/2021,61986.7,62518.2,51985.2,56166.89,-5825.56,-9.40%,56910
04/16/2021,63413.31,63821.08,60047.36,61992.45,-1417.03,-2.23%,67561
04/15/2021,62392.81,63649.81,62032.35,63409.48,1016.84,+1.63%,27532
04/14/2021,63181.69,64789.27,61393.21,62392.64,-789.05,-1.25%,71527
04/13/2021,60003.85,63630.81,59782.83,63181.69,3177.84,+5.30%,66300
04/12/2021,58328.28,61153.17,57884.58,60003.85,1676.03,+2.87%,26814
04/09/2021,57670.76,58877,57463.78,58327.82,651.26,+1.13%,19308
04/08/2021,56226.79,58136.45,55725.85,57676.56,1453.89,+2.59%,22286
04/07/2021,58246.45,58628,55504.89,56222.67,-2023.52,-3.47%,40626
04/06/2021,58792.4,59463.63,57404.14,58246.19,-550.18,-0.94%,23494
04/05/2021,58659.2,59743.62,56493.83,58796.37,137.15,+0.23%,21097
04/02/2021,58859.68,60039.05,58479.29,58659.22,-200.46,-0.34%,25552
04/01/2021,58984.21,59403.85,58019.71,58859.68,-122.47,-0.21%,23889
03/31/2021,58674.79,59797.83,57253.15,58982.15,308.91,+0.53%,37839
03/30/2021,57224.62,59373.28,57053.86,58673.24,1464.79,+2.56%,33320
03/29/2021,53996.71,58381.56,53992.59,57208.45,3211.74,+5.95%,41435
03/26/2021,51984.22,54254.75,51261.21,53996.71,2012.52,+3.87%,61503
03/25/2021,53839.43,54168.94,50496.36,51984.19,-1884.79,-3.50%,78775
03/24/2021,54445.13,57192.69,53230.9,53868.98,-575.32,-1.06%,50023
03/23/2021,54538.81,55812.76,53108.65,54444.3,-97.93,-0.18%,61640
03/22/2021,58383.84,59874.78,54399.03,54542.23,-3845.23,-6.59%,47522
03/19/2021,57490.75,59443.39,56315.28,58387.46,896.49,+1.56%,47598
03/18/2021,57773.99,60037.32,57132.07,57490.97,-268.14,-0.46%,62339
03/17/2021,56371.7,58230.69,54340.94,57759.11,1387.41,+2.46%,62892
03/16/2021,56416.39,56938.84,53338.44,56371.7,-44.69,-0.08%,69940
03/15/2021,56972.72,61749.81,55156.9,56416.39,-556.33,-0.98%,82064
03/12/2021,57652.9,58121.91,55122.82,56972.72,-680.82,-1.18%,63353
03/11/2021,56963.46,57904.54,54351.57,57653.54,688.24,+1.21%,64935
03/10/2021,54305.89,57350.37,53124.42,56965.3,2655.02,+4.89%,71254
03/09/2021,51881.67,54783.24,51471.69,54310.28,2426.46,+4.68%,63135
03/08/2021,49085.09,51957.37,47133.15,51883.82,2801.97,+5.71%,53671
03/05/2021,47896.11,49441.9,46379.01,49081.85,1185.64,+2.48%,65776
03/04/2021,50904.27,51762.89,47543.47,47896.21,-3014.64,-5.92%,64564
03/03/2021,47444.24,52581.13,47399.06,50910.85,3466.21,+7.31%,69055
03/02/2021,48859.06,50205.66,47100.52,47444.64,-1414.51,-2.90%,59477
03/01/2021,45670.36,49456.5,43145.98,48859.15,3187.69,+6.98%,78769
02/26/2021,48101.11,48819.4,44237.35,45671.46,-2432.24,-5.06%,104918
02/25/2021,48742.64,52053.44,48086.33,48103.7,-642.51,-1.32%,71838
02/24/2021,48007.16,51327.48,47090.88,48746.21,742.86,+1.55%,100727
02/23/2021,54911.43,54998.22,45060.9,48003.35,-6908.04,-12.58%,181164
02/22/2021,55609.52,58334.78,48179.72,54911.39,-698.13,-1.26%,135873
02/19/2021,52032.42,56261.96,50810.19,55609.52,3574.21,+6.87%,76091
02/18/2021,52380.58,52526.57,50932.96,52035.31,-338.77,-0.65%,56025
02/17/2021,48563.66,52584.07,48526.15,52374.08,3810.41,+7.85%,80267
02/16/2021,48199.14,50509.47,47070.09,48563.67,367.64,+0.76%,73575
02/15/2021,47907.87,49662.83,46003.7,48196.03,293.74,+0.61%,61745
02/12/2021,46908.71,48842.53,46309.1,47902.29,1000.58,+2.13%,70025
02/11/2021,45024.42,48596.09,44050.14,46901.71,1874.04,+4.16%,80219
02/10/2021,47318.71,47318.71,43815.16,45027.67,-2303.91,-4.87%,84436
02/09/2021,44718.35,48158.15,44348.36,47331.58,2608.87,+5.83%,128800
02/08/2021,37841.14,44793.31,37409.56,44722.71,6881.51,+18.19%,124155
02/05/2021,37683.1,38332.52,36642.72,37841.2,157.32,+0.42%,59395
02/04/2021,37286.28,38714.26,36283.85,37683.88,397.6,+1.07%,89817
02/03/2021,35678.59,37437.4,35412.38,37286.28,1608.84,+4.51%,74578
02/02/2021,33653.53,35989.82,33468.78,35677.44,2023.91,+6.01%,70603
02/01/2021,34630.63,35335.35,32231.01,33653.53,-977.1,-2.82%,70253
