Time,Open,High,Low,Last,Change,%Chg,Volume
04/21/2021,25.818,25.851,25.786,25.784,-0.031,-0.12%,375
04/20/2021,25.81,26.047,25.699,25.815,0.008,+0.03%,5106
04/19/2021,25.947,26.189,25.664,25.807,-0.138,-0.53%,5031
04/16/2021,25.832,26.262,25.744,25.945,0.117,+0.45%,5447
04/15/2021,25.404,25.962,25.348,25.828,0.427,+1.68%,5131
04/14/2021,25.326,25.502,25.24,25.401,0.077,+0.30%,5158
04/13/2021,24.805,25.417,24.703,25.324,0.524,+2.11%,5152
04/12/2021,25.24,25.246,24.719,24.8,-0.441,-1.75%,5227
04/09/2021,25.445,25.474,25.003,25.241,-0.21,-0.83%,5033
04/08/2021,25.138,25.564,24.985,25.451,0.313,+1.25%,5184
04/07/2021,25.144,25.248,24.869,25.138,-0.002,-0.01%,5103
04/06/2021,24.874,25.254,24.761,25.14,0.267,+1.07%,5036
04/05/2021,24.962,25.035,24.614,24.873,-0.091,-0.36%,5186
04/02/2021,24.952,24.971,24.952,24.964,0.011,+0.04%,1719
04/01/2021,24.395,24.954,24.245,24.953,0.559,+2.29%,5791
03/31/2021,24.012,24.485,23.808,24.394,0.388,+1.62%,5677
03/30/2021,24.645,24.694,23.861,24.006,-0.639,-2.59%,5739
03/29/2021,25.041,25.068,24.517,24.645,-0.397,-1.59%,5510
03/26/2021,25.039,25.209,24.891,25.042,0.006,+0.02%,5070
03/25/2021,25.086,25.149,24.463,25.036,-0.048,-0.19%,5036
03/24/2021,25.033,25.728,25.014,25.084,0.054,+0.22%,5224
03/23/2021,25.735,25.802,25.017,25.03,-0.703,-2.73%,5037
03/22/2021,26.238,26.238,25.418,25.733,-0.485,-1.85%,4775
03/19/2021,26.053,26.274,25.893,26.218,0.169,+0.65%,5156
03/18/2021,26.292,26.601,25.909,26.049,-0.241,-0.92%,5385
03/17/2021,25.928,26.477,25.775,26.29,0.366,+1.41%,5285
03/16/2021,26.235,26.279,25.839,25.924,-0.309,-1.18%,5330
03/15/2021,25.923,26.238,25.806,26.233,0.321,+1.24%,5084
03/12/2021,26.11,26.141,25.421,25.912,-0.196,-0.75%,5209
03/11/2021,26.204,26.428,25.93,26.108,-0.094,-0.36%,5539
03/10/2021,25.906,26.203,25.582,26.202,0.303,+1.17%,4802
03/09/2021,25.118,26.091,25.061,25.899,0.784,+3.12%,4856
03/08/2021,25.241,25.865,25.022,25.115,-0.095,-0.38%,4715
03/05/2021,25.336,25.402,24.878,25.21,-0.128,-0.51%,4772
03/04/2021,26.104,26.265,25.176,25.338,-0.764,-2.93%,4707
03/03/2021,26.756,26.78,25.929,26.102,-0.653,-2.44%,4964
03/02/2021,26.54,26.855,25.929,26.755,0.214,+0.81%,4897
03/01/2021,26.678,27.022,26.428,26.541,-0.114,-0.43%,4873
